skill,status,reason
architect-builder-method,active,core-operating-skill
project-brain-folder-system,active,core-operating-skill
sprint-architect-pack,active,core-operating-skill
clean-context-engineering,active,core-operating-skill
model-switch-router,active,core-operating-skill
onboarding-state-machine,active,core-operating-skill
happy-path-route-audit,active,core-operating-skill
local-release-gate,active,core-operating-skill
paperclip-parity-delta,active,core-operating-skill
ops-to-builder-instructions,active,core-operating-skill
agent-adaptive-coordinator,experimental,high-overlap-family
agent-agent,experimental,high-overlap-family
agent-agentic-payments,experimental,high-overlap-family
agent-analyze-code-quality,experimental,high-overlap-family
agent-app-store,experimental,high-overlap-family
agent-arch-system-design,experimental,high-overlap-family
agent-architecture,experimental,high-overlap-family
agent-authentication,experimental,high-overlap-family
agent-automation-smart-agent,experimental,high-overlap-family
agent-base-template-generator,experimental,high-overlap-family
agent-benchmark-suite,experimental,high-overlap-family
agent-browser,experimental,high-overlap-family
agent-byzantine-coordinator,experimental,high-overlap-family
agent-challenges,experimental,high-overlap-family
agent-code-analyzer,experimental,high-overlap-family
agent-code-goal-planner,experimental,high-overlap-family
agent-code-review-swarm,experimental,high-overlap-family
agent-coder,experimental,high-overlap-family
agent-collective-intelligence-coordinator,experimental,high-overlap-family
agent-consensus-coordinator,experimental,high-overlap-family
agent-coordination,experimental,high-overlap-family
agent-coordinator-swarm-init,experimental,high-overlap-family
agent-crdt-synchronizer,experimental,high-overlap-family
agent-data-ml-model,experimental,high-overlap-family
agent-dev-backend-api,experimental,high-overlap-family
agent-docs-api-openapi,experimental,high-overlap-family
agent-github-modes,experimental,high-overlap-family
agent-github-pr-manager,experimental,high-overlap-family
agent-goal-planner,experimental,high-overlap-family
agent-gossip-coordinator,experimental,high-overlap-family
agent-hierarchical-coordinator,experimental,high-overlap-family
agent-implementer-sparc-coder,experimental,high-overlap-family
agent-issue-tracker,experimental,high-overlap-family
agent-load-balancer,experimental,high-overlap-family
agent-matrix-optimizer,experimental,high-overlap-family
agent-memory-coordinator,experimental,high-overlap-family
agent-mesh-coordinator,experimental,high-overlap-family
agent-migration-plan,experimental,high-overlap-family
agent-multi-repo-swarm,experimental,high-overlap-family
agent-neural-network,experimental,high-overlap-family
agent-ops-cicd-github,experimental,high-overlap-family
agent-orchestrator-task,experimental,high-overlap-family
agent-pagerank-analyzer,experimental,high-overlap-family
agent-payments,experimental,high-overlap-family
agent-performance-analyzer,experimental,high-overlap-family
agent-performance-benchmarker,experimental,high-overlap-family
agent-performance-monitor,experimental,high-overlap-family
agent-performance-optimizer,experimental,high-overlap-family
agent-planner,experimental,high-overlap-family
agent-pr-manager,experimental,high-overlap-family
agent-production-validator,experimental,high-overlap-family
agent-project-board-sync,experimental,high-overlap-family
agent-pseudocode,experimental,high-overlap-family
agent-queen-coordinator,experimental,high-overlap-family
agent-quorum-manager,experimental,high-overlap-family
agent-raft-manager,experimental,high-overlap-family
agent-refinement,experimental,high-overlap-family
agent-release-manager,experimental,high-overlap-family
agent-release-swarm,experimental,high-overlap-family
agent-repo-architect,experimental,high-overlap-family
agent-researcher,experimental,high-overlap-family
agent-resource-allocator,experimental,high-overlap-family
agent-reviewer,experimental,high-overlap-family
agent-safla-neural,experimental,high-overlap-family
agent-sandbox,experimental,high-overlap-family
agent-scout-explorer,experimental,high-overlap-family
agent-security-manager,experimental,high-overlap-family
agent-sona-learning-optimizer,experimental,high-overlap-family
agent-sparc-coordinator,experimental,high-overlap-family
agent-spec-mobile-react-native,experimental,high-overlap-family
agent-specification,experimental,high-overlap-family
agent-swarm,experimental,high-overlap-family
agent-swarm-issue,experimental,high-overlap-family
agent-swarm-memory-manager,experimental,high-overlap-family
agent-swarm-pr,experimental,high-overlap-family
agent-sync-coordinator,experimental,high-overlap-family
agent-tdd-london-swarm,experimental,high-overlap-family
agent-test-long-runner,experimental,high-overlap-family
agent-tester,experimental,high-overlap-family
agent-topology-optimizer,experimental,high-overlap-family
agent-trading-predictor,experimental,high-overlap-family
agent-user-tools,experimental,high-overlap-family
agent-v3-integration-architect,experimental,high-overlap-family
agent-v3-memory-specialist,experimental,high-overlap-family
agent-v3-performance-engineer,experimental,high-overlap-family
agent-v3-queen-coordinator,experimental,high-overlap-family
agent-v3-security-architect,experimental,high-overlap-family
agent-worker-specialist,experimental,high-overlap-family
agent-workflow,experimental,high-overlap-family
agent-workflow-automation,experimental,high-overlap-family
html-ppt-course-module,experimental,high-overlap-family
html-ppt-dir-key-nav-minimal,experimental,high-overlap-family
html-ppt-graphify-dark-graph,experimental,high-overlap-family
html-ppt-hermes-cyber-terminal,experimental,high-overlap-family
html-ppt-knowledge-arch-blueprint,experimental,high-overlap-family
html-ppt-obsidian-claude-gradient,experimental,high-overlap-family
html-ppt-pitch-deck,experimental,high-overlap-family
html-ppt-presenter-mode-reveal,experimental,high-overlap-family
html-ppt-product-launch,experimental,high-overlap-family
html-ppt-retro-quarterly-review,experimental,high-overlap-family
html-ppt-taste-brutalist,experimental,high-overlap-family
html-ppt-taste-editorial,experimental,high-overlap-family
html-ppt-tech-sharing,experimental,high-overlap-family
html-ppt-testing-safety-alert,experimental,high-overlap-family
html-ppt-weekly-report,experimental,high-overlap-family
html-ppt-xhs-pastel-card,experimental,high-overlap-family
html-ppt-xhs-post,experimental,high-overlap-family
html-ppt-xhs-white-editorial,experimental,high-overlap-family
html-ppt-zhangzara-8-bit-orbit,experimental,high-overlap-family
html-ppt-zhangzara-biennale-yellow,experimental,high-overlap-family
html-ppt-zhangzara-block-frame,experimental,high-overlap-family
html-ppt-zhangzara-blue-professional,experimental,high-overlap-family
html-ppt-zhangzara-bold-poster,experimental,high-overlap-family
html-ppt-zhangzara-broadside,experimental,high-overlap-family
html-ppt-zhangzara-capsule,experimental,high-overlap-family
html-ppt-zhangzara-cartesian,experimental,high-overlap-family
html-ppt-zhangzara-cobalt-grid,experimental,high-overlap-family
html-ppt-zhangzara-coral,experimental,high-overlap-family
html-ppt-zhangzara-creative-mode,experimental,high-overlap-family
html-ppt-zhangzara-daisy-days,experimental,high-overlap-family
html-ppt-zhangzara-editorial-tri-tone,experimental,high-overlap-family
html-ppt-zhangzara-grove,experimental,high-overlap-family
html-ppt-zhangzara-long-table,experimental,high-overlap-family
html-ppt-zhangzara-mat,experimental,high-overlap-family
html-ppt-zhangzara-monochrome,experimental,high-overlap-family
html-ppt-zhangzara-neo-grid-bold,experimental,high-overlap-family
html-ppt-zhangzara-peoples-platform,experimental,high-overlap-family
html-ppt-zhangzara-pin-and-paper,experimental,high-overlap-family
html-ppt-zhangzara-pink-script,experimental,high-overlap-family
html-ppt-zhangzara-playful,experimental,high-overlap-family
html-ppt-zhangzara-raw-grid,experimental,high-overlap-family
html-ppt-zhangzara-retro-windows,experimental,high-overlap-family
html-ppt-zhangzara-retro-zine,experimental,high-overlap-family
html-ppt-zhangzara-sakura-chroma,experimental,high-overlap-family
html-ppt-zhangzara-scatterbrain,experimental,high-overlap-family
html-ppt-zhangzara-signal,experimental,high-overlap-family
html-ppt-zhangzara-soft-editorial,experimental,high-overlap-family
html-ppt-zhangzara-stencil-tablet,experimental,high-overlap-family
html-ppt-zhangzara-studio,experimental,high-overlap-family
html-ppt-zhangzara-vellum,experimental,high-overlap-family
swarm-advanced,experimental,high-overlap-family
swarm-init,experimental,high-overlap-family
swarm-orchestration,experimental,high-overlap-family
tavily-best-practices,experimental,high-overlap-family
tavily-cli,experimental,high-overlap-family
tavily-crawl,experimental,high-overlap-family
tavily-dynamic-search,experimental,high-overlap-family
tavily-extract,experimental,high-overlap-family
tavily-map,experimental,high-overlap-family
tavily-research,experimental,high-overlap-family
tavily-search,experimental,high-overlap-family
v3-cli-modernization,experimental,high-overlap-family
v3-core-implementation,experimental,high-overlap-family
v3-ddd-architecture,experimental,high-overlap-family
v3-integration-deep,experimental,high-overlap-family
v3-mcp-optimization,experimental,high-overlap-family
v3-memory-unification,experimental,high-overlap-family
v3-performance-optimization,experimental,high-overlap-family
v3-security-overhaul,experimental,high-overlap-family
v3-swarm-coordination,experimental,high-overlap-family
